ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Frozen food served after heating(other than those heated immediately before freezing)：NEW EBIKUSHI FURAI,Indonesia,P.T.SEKAR KATOKICHI,,Art.11(2),violation of compositional standard (E.coli positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
Peanuts,China,,"RONGCHENG ZHONGXING PEANUT PRODUCTS CO., LTD.",Art.6 (ⅱ),"aflatoxin (mycotoxin)  33 μg/kg　（B1:24.5, B2:3.5, G1:3.8, G2:1.2) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-15
Peanuts,China,,"QINGDAO JIADE FOODS CO.,LTD",Art.6 (ⅱ),"aflatoxin (mycotoxin)  29 μg/kg　（B1:23.7, B2:5.1) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-15
Frozen food served after heating(those heated immediately before freezing): PRE-FRIED SHRIMP FRITTER,Vietnam,"GALLANT OCEAN (VIET NAM) CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-02-15
Frozen food served after heating(other than those heated immediately before freezing)：COCKTAIL　SAMOSA,India,BOMBAYWALLA PURANPOLI PVT.LTD.,,Art.11(2),violation of compositional standard (live bacteria count  2.1 ×10⁷ /g、E.coli positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-22
Soy beans,U.S.A.,,,Art.6 (ⅰ),"generation of mold, solidification, decay and nasty smell",kobe 2nd section,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-23
MARIGOLD PETALS,France(origin: Egypt),ETS.TOURET-L' HERBIER DU DIOIS SAS,,Art.11(2),violation of compositional standard (chlorpyrifos 0.02 ppm detection),chubu airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-22
HAWTHORN PRODUCT,China,"SHENYANG SHAN SHAN WEI YE FOODS CO., LTD",,Art.10,undesignated additive(cyclamic acid 8 μg/g detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-23
Seasoning agent：FSG SPICY MIXED VEGETABLE PASTE,China,"SICHUAN FANSAOGUANG FOOD CO., LTD.",,Art.10,undesignated additive(cyclamic acid 6 μg/g detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-22
Food additive:LUO HAN GUO EXTRACT,China,HUISONG PHARMACEUTICALS,,Art.11(2),violation of compositional standard (Residue on Ignition),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-23
Corn,U.S.A.,,,Art.6 (ⅱ),aflatoxin (mycotoxin)  11 μg/kg　（B1:10.8) detected,kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-22
Milled rice,Thailand,,,Art.6 (ⅰ),generation of mold and deterioration,tokyo,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-23
Milled rice,Thailand,,,Art.6 (ⅰ),generation of mold and deterioration,tokyo,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-02-22
Container packing filling pressurization heating sterilization food：BOILED ANGLER FISHLIVER,China,"DALIAN EASTERN OCEAN BAY AQUATIC PRODUCT CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-02-23
FRIED PEANUTS,China,"RONGCHENG SHIDAO GUANGXIN FOOD CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)  48 μg/kg　（B1:7.4, G1:34.8, G2:5.3) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-22
Frozen food served after heating(other than those heated immediately before freezing)：PEANUT RICE BALL,China,"TIANJIN GUOSHI FOOD CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)   17 μg/kg　（B1:14.4, B2:2.3) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-02-23
Milled rice,Thailand,,"ASIA GOLDEN RICE CO.,LTD.",Art.6 (ⅰ),"generation of mold, decay and nasty smell",kagoshima,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-02
Wine:SOLE MINOI CANNONAU DI SARDEGNA DOC,Italy,AZIENDA VITIVINICOLA GIUSEPPE LECIS,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.23 g/kg  detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
Wine:SPARAS I.G.T ISOLA DEI NURAGHI,Italy,AZIENDA VITIVINICOLA GIUSEPPE LECIS,,Art.11(2),violation of standard of use (potassium sorbate (as sorbic acid)  0.23 g/kg  detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
COLORED LOTUS ROOTS,China,"YANGZHOU TIANHE FOOD CO., LTD.",,Art.11(2),violation of standard of use (sodium hydrosulfite (as SO₂) 0.033 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
SALTED LOTUS ROOTS,China,"YANGZHOU TIANHE FOOD CO., LTD.",,Art.11(2),violation of standard of use (sodium hydrosulfite (as SO₂) 0.052 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
Peanuts,China,,"RONGCHENG ZHONGXING PEANUT PRODUCTS CO., LTD",Art.6 (ⅱ),"aflatoxin (mycotoxin)   25 μg/kg （B1:7.7, G1:14, G2:2.9) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-02
Almonds,U.S.A.,,"FRESH PACIFIC FRUIT AND VEGETABLE, INC.",Art.6 (ⅱ),"aflatoxin (mycotoxin)  17 μg/kg　（B1:8.7, B2:1.1, G1:7.6) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-02
Fresh banana,Costa Rica,,"UMINA BROTHERS, INC.",Art.11(2),violation of compositional standard (Gibberellin 0.5 ppm detection),kobe,,,we directed abandonment or return of the cargo (under investigation),monitoring inspection,2017-03-02
Chocolate: FLOCON,France,HASNAA CHOCOLATS GRANDS CRUS,,Art.10,undesignated additive (use of Potassium aluminium silicate),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-02
Chocolate: ALMOND OLD STYLE PRALINE,France,HASNAA CHOCOLATS GRANDS CRUS,,Art.10,undesignated additive (use of Potassium aluminium silicate),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-02
Chocolate: CHESTNUT AND RUM PRALINE,France,HASNAA CHOCOLATS GRANDS CRUS,,Art.10　Art.11(2),"undesignated additive (use of Potassium aluminium silicate), violation of standard of use (use of Iron sesquioxide in other than target food)",kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-02
Peanuts,Argentina,,SHIROSAWA CO. SAIC,Art.6 (ⅱ),"aflatoxin (mycotoxin)  11 μg/kg （B1:9.5, B2:1.8) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-02
Sesami seed,Tanzania,,HAKAN AGRO DMCC,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（imidacloprid 0.02 ppm detection）",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-02
Frozen food served after heating(other than those heated immediately before freezing)：UNAGI KABAYAKI（FROZEN GRILLED EEL）,Indonesia,PT.JAWA SUISAN INDAH,,Art.11(2),violation of compositional standard (E.coli positive),fukuoka airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
Powdered drink beverages: FARMLAND CAFE MOCHA VANILLA,Indonesia,P.T. SARI INCOFOOD CO.,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
Frozen fresh fish and shellfish for raw consumption: FROZEN YAKI HARASU SUSHI SLICE,Vietnam,"SAKURA FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-03-02
Dried fruits: Bilberry Powder,Finland,SOBAT OY,,Art.11(2),violation of compositional standard (radioactive substance (Cs)  160 Bq/kg detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-02
Fresh Parsnip,France,,BE FRESH PRODUCE B.V.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (Cyprodinil 0.02 ppm　detection)",narita airport,,,the whole quantity has been sold,monitoring inspection,2017-03-02
LIVE SHORT NECKED CLAM,China,,"WEIHAI HUAZHENG IMPORT AND EXPORT CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（prometryn 0.02 ppm detection）",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-13
Ice cream (MASCARPONE),France,COMPAGNIE DES DESSERTS,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-03-13
Brandy (LAURO ORUJO BLANCA),Spain,"BODEGAS CAMPANTE, S.A.",,Art.6 (ⅱ),methanol 1.1 mg/cm³　detection,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
Frozen food served without heating: FROZEN MANGO CUT,Philippines,"NAKASHIN DAVAO INTERNATIONAL, INC.",,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2017-03-13
Frozen food served after heating(those heated immediately before freezing): FROZEN  MUSHROOM,Thailand,"PANFOOD CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count  6.6×10⁵ /g),chubu airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
Frozen food served after heating(those heated immediately before freezing): FROZEN  MUSHROOM,Thailand,"PANFOOD CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count 2.0×10⁵ /g、coliform bacteria positive),chubu airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
Frozen food served after heating(those heated immediately before freezing): FROZEN  MUSHROOM,Thailand,"PANFOOD CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count  1.1×10⁶ /g),chubu airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
Frozen food served after heating(those heated immediately before freezing): FROZEN  MUSHROOM HALF CUT,Thailand,"PANFOOD CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count 1.3×10⁶ /g、coliform bacteria positive),chubu airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
Frozen food served after heating(other than those heated immediately before freezing)：ONION PARATHA,India,BOMBAYWALLA PURANPOLI PVT.LTD.,,Art.10,undesignated additive (TBHQ 1 μg/g detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
Barley,Canada,,ITOCHU INTERNATIONAL INC.,Art.6 (ⅰ),"generation of mold, decay and nasty smell",shimizu,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-13
Soy beans,Canada,,G3 CANADA LIMITED,Art.6 (ⅰ),generation of mold and nasty smell,yokohama,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-13
ROASTED PEANUTS WITH RED SKIN,China,"YANTAI DACHENG FOODSTUFF CO., LTD.",,Art.6 (ⅱ),"aflatoxin (mycotoxin)  326 μg/kg　（B1:103.8, B2:15.2, G1:177.5 , G2:29.3) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-13
Container packing filling pressurization heating sterilization food：VEGETABLE CURRY POUCH (with cassava),Sri Lanka,MA'S TROPICAL FOOD PROCESSING (PVT) LTD.,,Art.6 (ⅱ),cyanide 30 mg/kg detection,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-13
Frozen food served without heating: FROZEN CUTTLEFISH FILLET,Malaysia,PLATINIUM MARINE PRODUCTS SDN BHD,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-13
SULPHURED DRIED APRICOTS,Turkey,SOLEIL TARIM URUNLERI SANAYI VE TICARET A.S.,,Art.11(2),violation of standard of use (SO₂ 2.0 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-24
Peanuts,China,,"RONGCHENG SUBSIDIARY FOOD CO., LTD.",Art.6 (ⅱ),"aflatoxin (mycotoxin)  12 μg/kg　（B1:3.4, G1:8.4) detected",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2017-03-24
Milled broken rice,U.S.A.,,SUMITOMO CORPORATION OF AMERICAS,Art.6 (ⅰ),"generation of mold, nasty smell,  solidification and decay",niigata,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-24
Enameled ware:COCOTTE OVAL,France,LE CREUSET S.A.S.,,Art.18(2),non-conformity with the standard for materials（cadmium  0.6 μg/cm² detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-24
Fresh banana,Philippines,,LAPANDAY FOODS CORPORATION,Art.11(2),violation of compositional standard (imidacloprid 0.05 ppm detection),kobe,,,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2017-03-24
Implements(polystyrene):HOSHIGATA,China,"QINGDAO GUANGLAI XINGRI PACKAGING CO., LTD.",,Art.18(2),non-conformity with standard for materials(lead 150 μg/g detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2017-03-24
Wheat,U.S.A.,,"COLUMBIA GRAIN,INC.",Art.6 (ⅰ),"generation of mold, nasty smell, decay and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-24
Wheat,U.S.A.,,"COLUMBIA GRAIN,INC.",Art.6 (ⅰ),"generation of mold, nasty smell, decay and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2017-03-24
